Run	Choice	Total	Excluded	To_process	Other
ERR10101488	partial_excluded	2	0	1	1
ERR10101489	partial_excluded	2	0	1	1
ERR10101490	partial_excluded	2	0	1	1
ERR10101491	partial_excluded	2	0	1	1
ERR10101492	partial_excluded	2	0	1	1
ERR10101493	partial_excluded	2	0	1	1
ERR10101494	partial_excluded	2	0	1	1
ERR10101495	partial_excluded	2	0	1	1
ERR10101496	partial_excluded	2	0	1	1
ERR10101497	partial_excluded	2	0	1	1
ERR10101498	partial_excluded	2	0	1	1
ERR10101499	partial_excluded	2	0	1	1
ERR10101500	partial_excluded	2	0	1	1
ERR10101501	partial_excluded	2	0	1	1
ERR10101502	partial_excluded	2	0	1	1
ERR10101503	partial_excluded	2	0	1	1
ERR10101504	partial_excluded	2	0	1	1
ERR10101505	partial_excluded	2	0	1	1
ERR10101506	partial_excluded	2	0	1	1
ERR10101507	partial_excluded	2	0	1	1
ERR10101508	partial_excluded	2	0	1	1
ERR10101509	partial_excluded	2	0	1	1
ERR10101510	partial_excluded	2	0	1	1
ERR10101511	partial_excluded	2	0	1	1
ERR10101512	partial_excluded	2	0	1	1
ERR10101513	partial_excluded	2	0	1	1
ERR10101514	partial_excluded	2	0	1	1
ERR10101515	partial_excluded	2	0	1	1
ERR10101516	partial_excluded	2	0	1	1
ERR10101517	partial_excluded	2	0	1	1
ERR10101518	partial_excluded	2	0	1	1
ERR10101519	partial_excluded	2	0	1	1
ERR10101520	partial_excluded	2	0	1	1
ERR10101521	partial_excluded	2	0	1	1
ERR10101522	partial_excluded	2	0	1	1
ERR10101523	partial_excluded	2	0	1	1
ERR10101524	partial_excluded	2	0	1	1
ERR10101525	partial_excluded	2	0	1	1
ERR10101526	partial_excluded	2	0	1	1
ERR10101527	partial_excluded	2	0	1	1
ERR10101528	partial_excluded	2	0	1	1
ERR10101529	partial_excluded	2	0	1	1
ERR10101530	partial_excluded	2	0	1	1
ERR10101531	partial_excluded	2	0	1	1
ERR10101701	partial_excluded	3	0	1	2
ERR10101741	partial_excluded	2	0	1	1
ERR10101742	partial_excluded	2	0	1	1
ERR10101743	partial_excluded	2	0	1	1
ERR10101744	partial_excluded	2	0	1	1
ERR10101745	partial_excluded	2	0	1	1
ERR10101746	partial_excluded	2	0	1	1
ERR10101747	partial_excluded	2	0	1	1
ERR10101748	partial_excluded	2	0	1	1
ERR10101749	partial_excluded	2	0	1	1
ERR10101750	partial_excluded	2	0	1	1
ERR10101751	partial_excluded	2	0	1	1
ERR10101752	partial_excluded	2	0	1	1
ERR10101753	partial_excluded	2	0	1	1
ERR10101754	partial_excluded	2	0	1	1
ERR10101755	partial_excluded	2	0	1	1
ERR10101756	partial_excluded	2	0	1	1
ERR10101757	partial_excluded	2	0	1	1
ERR10101758	partial_excluded	2	0	1	1
ERR10101759	partial_excluded	2	0	1	1
ERR10101760	partial_excluded	3	0	1	2
ERR10101761	partial_excluded	2	0	1	1
ERR10101762	partial_excluded	2	0	1	1
ERR10101763	partial_excluded	2	0	1	1
ERR10101764	partial_excluded	2	0	1	1
ERR10101765	partial_excluded	2	0	1	1
ERR10101766	partial_excluded	2	0	1	1
ERR10101767	partial_excluded	2	0	1	1
ERR10101768	partial_excluded	2	0	1	1
ERR10101769	partial_excluded	2	0	1	1
ERR10101770	partial_excluded	2	0	1	1
ERR10101771	partial_excluded	2	0	1	1
ERR10101772	partial_excluded	2	0	1	1
ERR10101773	partial_excluded	2	0	1	1
ERR10101774	partial_excluded	2	0	1	1
ERR10101775	partial_excluded	2	0	1	1
ERR10101776	partial_excluded	2	0	1	1
ERR10101777	partial_excluded	2	0	1	1
ERR10101778	partial_excluded	2	0	1	1
ERR10101779	partial_excluded	2	0	1	1
ERR10101780	partial_excluded	2	0	1	1
ERR10101781	partial_excluded	2	0	1	1
ERR10101782	partial_excluded	2	0	1	1
ERR10101783	partial_excluded	2	0	1	1
ERR10101784	partial_excluded	2	0	1	1
ERR10101785	partial_excluded	2	0	1	1
ERR10101786	partial_excluded	2	0	1	1
ERR10101787	partial_excluded	2	0	1	1
ERR10101788	partial_excluded	2	0	1	1
ERR10101789	partial_excluded	2	0	1	1
ERR10101790	partial_excluded	2	0	1	1
ERR10101791	partial_excluded	2	0	1	1
ERR10101792	partial_excluded	2	0	1	1
ERR10101793	partial_excluded	2	0	1	1
ERR10101794	partial_excluded	2	0	1	1
ERR10101795	partial_excluded	2	0	1	1
ERR10101796	partial_excluded	2	0	1	1
ERR10101797	partial_excluded	2	0	1	1
ERR10101798	partial_excluded	2	0	1	1
ERR10101799	partial_excluded	2	0	1	1
ERR10101800	partial_excluded	2	0	1	1
ERR10101801	partial_excluded	2	0	1	1
ERR10101802	partial_excluded	2	0	1	1
ERR10101803	partial_excluded	2	0	1	1
ERR10101804	partial_excluded	2	0	1	1
ERR10101805	partial_excluded	2	0	1	1
ERR10101806	partial_excluded	2	0	1	1
ERR10101807	partial_excluded	2	0	1	1
ERR10101808	partial_excluded	2	0	1	1
ERR10101809	partial_excluded	2	0	1	1
ERR10101810	partial_excluded	2	0	1	1
ERR10101811	partial_excluded	2	0	1	1
ERR10101812	partial_excluded	2	0	1	1
ERR10101813	partial_excluded	2	0	1	1
ERR10101814	partial_excluded	2	0	1	1
ERR10101815	partial_excluded	2	0	1	1
ERR10101816	partial_excluded	2	0	1	1
ERR10101817	partial_excluded	2	0	1	1
ERR10101818	partial_excluded	2	0	1	1
ERR10101819	partial_excluded	2	0	1	1
ERR10101820	partial_excluded	2	0	1	1
ERR10101821	partial_excluded	2	0	1	1
ERR10101822	partial_excluded	2	0	1	1
ERR10101823	partial_excluded	2	0	1	1
ERR10101824	partial_excluded	2	0	1	1
ERR10101825	partial_excluded	2	0	1	1
ERR10101826	partial_excluded	2	0	1	1
ERR10101827	partial_excluded	2	0	1	1
ERR10101828	partial_excluded	2	0	1	1
ERR10101829	partial_excluded	2	0	1	1
ERR10101830	partial_excluded	2	0	1	1
ERR10101831	partial_excluded	2	0	1	1
ERR10101859	partial_excluded	2	0	1	1
ERR10101860	partial_excluded	2	0	1	1
ERR10101861	partial_excluded	2	0	1	1
ERR10101862	partial_excluded	2	0	1	1
ERR10101863	partial_excluded	2	0	1	1
ERR10101864	partial_excluded	2	0	1	1
ERR10101865	partial_excluded	2	0	1	1
ERR10101866	partial_excluded	2	0	1	1
ERR10101867	partial_excluded	2	0	1	1
ERR10101868	partial_excluded	2	0	1	1
ERR10101869	partial_excluded	2	0	1	1
ERR10101870	partial_excluded	2	0	1	1
ERR10101871	partial_excluded	2	0	1	1
ERR10101872	partial_excluded	2	0	1	1
ERR10101873	partial_excluded	2	0	1	1
ERR10101874	partial_excluded	2	0	1	1
ERR10101875	partial_excluded	2	0	1	1
ERR10101876	partial_excluded	2	0	1	1
ERR10101877	partial_excluded	2	0	1	1
ERR10101878	partial_excluded	2	0	1	1
ERR10101879	partial_excluded	2	0	1	1
ERR10101880	partial_excluded	2	0	1	1
ERR10101881	partial_excluded	2	0	1	1
ERR10101882	partial_excluded	2	0	1	1
ERR10101883	partial_excluded	2	0	1	1
ERR10101884	partial_excluded	2	0	1	1
ERR10101885	partial_excluded	2	0	1	1
ERR10101886	partial_excluded	2	0	1	1
ERR10101887	partial_excluded	2	0	1	1
ERR10101888	partial_excluded	2	0	1	1
ERR10101889	partial_excluded	2	0	1	1
ERR10101890	partial_excluded	2	0	1	1
ERR10101891	partial_excluded	2	0	1	1
ERR10101892	partial_excluded	2	0	1	1
ERR10101893	partial_excluded	2	0	1	1
ERR10101894	partial_excluded	2	0	1	1
ERR10101895	partial_excluded	2	0	1	1
ERR10101896	partial_excluded	2	0	1	1
ERR10101897	partial_excluded	2	0	1	1
ERR10101898	partial_excluded	2	0	1	1
ERR10101899	partial_excluded	2	0	1	1
ERR10101900	partial_excluded	2	0	1	1
ERR10101901	partial_excluded	2	0	1	1
ERR10101902	partial_excluded	2	0	1	1
ERR10101903	partial_excluded	2	0	1	1
